audit_id,paper_category,category_key,expressible,library,current_rfc_classification,current_root_cause,rfc_tags,storage_classification,fixed_status,state,created_at,title,url,maintainer_bug_judgment,evidence_to_check,audit_decision,audit_notes
AS-001,Missing RFC checks and state guards,missing_rfc_checks_and_state_guards,O,wolfSSL,RFC-Core,missing_validation,RFC8446,bug-inferred,closed_pr_merge_unverified,closed,2026-04-23T14:13:14Z,TLS 1.3: gate 0-RTT on a cache-backed resumption ticket,https://github.com/wolfSSL/wolfssl/pull/10289,needs_source_audit,maintainer comment; linked PR/MR; commit; release note; advisory,TBD,
AS-002,Missing RFC checks and state guards,missing_rfc_checks_and_state_guards,O,GnuTLS,RFC-Core,missing_state_transition_guard,RFC8446,bug-inferred,recognized_unfixed_or_open,opened,2026-01-19T19:30:22.101Z,malformed CCS in TLS 1.3 is discarded without an alert,https://gitlab.com/gnutls/gnutls/-/work_items/1788,needs_source_audit,maintainer comment; linked PR/MR; commit; release note; advisory,TBD,
AS-003,Missing RFC checks and state guards,missing_rfc_checks_and_state_guards,O,GnuTLS,RFC-Core,missing_state_transition_guard,RFC8446,bug-inferred,recognized_unfixed_or_open,opened,2026-01-20T15:28:27.537Z,two KeyUpdates in one record do not get rejected with unexpected_message,https://gitlab.com/gnutls/gnutls/-/work_items/1789,needs_source_audit,maintainer comment; linked PR/MR; commit; release note; advisory,TBD,
AS-004,Missing RFC checks and state guards,missing_rfc_checks_and_state_guards,O,OpenSSL,RFC-Core,missing_validation,RFC5246;RFC8446,bug-inferred,recognized_unfixed_or_open,open,2026-04-13T20:34:28Z,TLS 1.3 client does not validate ticket_lifetime <= 604800 per RFC 8446 §4.6.1,https://github.com/openssl/openssl/issues/30808,needs_source_audit,maintainer comment; linked PR/MR; commit; release note; advisory,TBD,
AS-005,Missing RFC checks and state guards,missing_rfc_checks_and_state_guards,O,OpenSSL,RFC-probable,missing_validation,RFC8446,direct-bug-label,closed_pr_merge_unverified,closed,2026-03-17T17:29:18Z,Fix SSL_SESSION leak in tls_parse_ctos_psk() on ticket error paths,https://github.com/openssl/openssl/pull/30464,needs_source_audit,maintainer comment; linked PR/MR; commit; release note; advisory,TBD,
AS-006,Missing RFC checks and state guards,missing_rfc_checks_and_state_guards,O,OpenSSL,RFC-probable,missing_validation,RFC8446,direct-bug-label,recognized_unfixed_or_open,open,2026-05-29T11:39:52Z,Design gap: multiple TLS 1.3 signature schemes sharing the same key type OID,https://github.com/openssl/openssl/issues/31330,needs_source_audit,maintainer comment; linked PR/MR; commit; release note; advisory,TBD,
AS-007,Missing RFC checks and state guards,missing_rfc_checks_and_state_guards,O,Mbed TLS,RFC-probable,missing_validation,RFC8446,bug-inferred,closed_pr_merge_unverified,closed,2026-02-16T17:09:50Z,Fix missing type conversion in the TLS-Exporter,https://github.com/Mbed-TLS/mbedtls/pull/10601,needs_source_audit,maintainer comment; linked PR/MR; commit; release note; advisory,TBD,
AS-008,Missing RFC checks and state guards,missing_rfc_checks_and_state_guards,O,Mbed TLS,RFC-probable,missing_validation,RFC8446,bug-inferred,closed_pr_merge_unverified,closed,2026-02-16T17:11:33Z,[Backport 3.6] Fix missing type conversion in the TLS-Exporter,https://github.com/Mbed-TLS/mbedtls/pull/10602,needs_source_audit,maintainer comment; linked PR/MR; commit; release note; advisory,TBD,
AS-009,Missing RFC checks and state guards,missing_rfc_checks_and_state_guards,O,OpenSSL,RFC-probable,missing_validation,RFC5246;RFC8446,bug-inferred,closed_pr_merge_unverified,closed,2026-03-12T13:50:23Z,DTLS 1.3 Update Epoch to a 64 bit counter and don't allow wrapping,https://github.com/openssl/openssl/pull/30394,needs_source_audit,maintainer comment; linked PR/MR; commit; release note; advisory,TBD,
AS-010,Missing RFC checks and state guards,missing_rfc_checks_and_state_guards,O,wolfSSL,RFC-probable,missing_validation,RFC8446,bug-inferred,closed_pr_merge_unverified,closed,2026-03-20T19:35:59Z,verify ciphersuite in CH2 matches HRR,https://github.com/wolfSSL/wolfssl/pull/10034,needs_source_audit,maintainer comment; linked PR/MR; commit; release note; advisory,TBD,
