auto_rfc_probable,body_excerpt,created_at,excluded_reason,expressibility,expressibility_reason,fixed_status,id,kind,labels,library,manual_review_basis,manual_rfc,manual_rfc_classification,platform,primary_root_cause,source,state,storage_classification,title,url
True,"### Contact Details

thkighie1224@postech.ac.kr

### Version

v5.8.4-stable

### Description

Hello wolfSSL team,

I would like to report an RFC 5246 compliance violation related to the handling of an empty Certificate message sent by the server.

According to RFC 5246, Section 7.4.2 (Certificate):

> The certificate MUST be appropriate for the negotiated cipher suite's
> key exchange algorithm and any negotiated extensions.

When using the cipher suite `TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256`, the server is required to send a Certificate message containing a valid certificate. However, wolfSSL client accepts an empty server Certificate message during a TLS 1.2 handshake, which violates the RFC requirement.

In the `ProcessPeerCerts` function, the absence of a peer certificate is only treated as an error when the negotiated protocol version is TLS 1.3:

```c
else if ((ssl->options.side == WOLFSSL_CLIENT_END) &&
         IsAtLeastTLSv1_3(ssl->version)) {
    WOLFSSL_MSG(""No peer cert from Server"");
    ret = NO_PEER_CERT;
    WOLFSSL_ERROR_VERBOSE(ret);
    SendAlert(ssl, alert_fatal, decode_error);
}
```

As a result, when the session is negotiated as TLS 1.2, an empty Certificate message from the server is incorrectly accepted. The `DoCertificate` function returns 0 (success), and the handshake continues to `DoServerKeyExchange`.

Subsequently, `DoServerKeyExchange` attempts to retrieve the peer’s public key from the certificate and reports a “need peer key” error. While th",2026-01-13T10:56:55Z,,partially_expressible,"Partly representable, but exact predicate/state/alert/transcript behavior may need model-specific checks.",closed_or_fixed_unverified,github:wolfSSL/wolfssl:issue:9651,issue,bug,wolfSSL,manual-style deterministic triage over title/body/labels/raw API metadata; source-audit required for publication claims,"[""RFC5246"", ""RFC8446""]",RFC-Core,github,wrong_error_handling,wolfSSL/wolfssl,closed,direct-bug-label,[Bug]: RFC 5246 violation: empty server certificate not rejected in TLS 1.2 handshake,https://github.com/wolfSSL/wolfssl/issues/9651
True,"### Contact Details

thkighie1224@postech.ac.kr

### Version

v5.8.4-stable

### Description

Hello wolfSSL Team,

I would like to report a behavior in wolfSSL that appears to violate RFC 8446 (TLS 1.3) regarding the handling of the `client_certificate_type` and `server_certificate_type` extensions.

In TLS 1.3, wolfSSL accepts the `client_certificate_type` and `server_certificate_type` extensions in a `ServerHello` message, which is not permitted by RFC 8446.

According to RFC 8446, Section 4.2 (Extensions), `client_certificate_type` and `server_certificate_type` MUST be sent in `ClientHello(CH)` or `EncryptedExtensions(EE)`

They are not allowed in `ServerHello` messages in TLS 1.3.

In the `TLSX_Parse` function, the message type is not checked when parsing these extensions:

```c
#if defined(HAVE_RPK)
            case TLSX_CLIENT_CERTIFICATE_TYPE:
                WOLFSSL_MSG(""Client Certificate Type extension received"");
                ret = CCT_PARSE(ssl, input + offset, size, msgType);
                break;

            case TLSX_SERVER_CERTIFICATE_TYPE:
                WOLFSSL_MSG(""Server Certificate Type extension received"");
                ret = SCT_PARSE(ssl, input + offset, size, msgType);
                break;
#endif /* HAVE_RPK */
```

As a result, these extensions can be included in arbitrary handshake messages.

While the corresponding parse functions appear to process only, ClientHello, ServerHello (which is valid for TLS 1.2)  and EncryptedExtensions (pote",2026-01-13T15:19:21Z,,expressible_setM_add_remove,Representable for modeled wire-message fields using setM/add/remove.,closed_or_fixed_unverified,github:wolfSSL/wolfssl:issue:9655,issue,bug,wolfSSL,manual-style deterministic triage over title/body/labels/raw API metadata; source-audit required for publication claims,"[""RFC5246"", ""RFC8446""]",RFC-Core,github,incorrect_field_construction,wolfSSL/wolfssl,closed,direct-bug-label,[Bug]:  client_certificate_type and server_certificate_type extensions accepted in ServerHello for TLS 1.3,https://github.com/wolfSSL/wolfssl/issues/9655
True,"### Contact Details

_No response_

### Version

master branch, commit from 2026.02.06 (hash: 25db90...)

### Description

I am using DTLS 1.3 with TLS_SHA384_SHA384 (integrity only, NULL cipher)
In this case when the BuildTls13Nonce gets executed, the seq_offset calculated as follows:

int seq_offset = AEAD_NONCE_SZ - SEQ_SZ;

According to my understanding, the seq_offset is variable and should depend on the size of the HMAC Nonce. 
In wolfssl this is called HMAC_NONCE_SZ

-----

*Explanation*:

According to Section 5.3 (""Per-Record Nonce"") of RFC 8446 (https://www.rfc-editor.org/rfc/rfc8446#section-5.3):
 
   ""The resulting quantity (of length iv_length) is used as the
   per-record nonce.""

This means that the nonce has to be the same length as the IV.
 
According to Section 6 (""Key Schedule when Using Integrity-Only Cipher Suites"") of RFC 9150 (https://www.rfc-editor.org/rfc/rfc9150.html#section-6), the IV length of TLS_SHA384_SHA384 is 48.
 
Therefore, these two combined mean that the nonce length in case of TLS_SHA384_SHA384 shall be 48.


-----

The same issue seems appear in case of TLS 1.3 as well (not verified just found the same pattern in the code)

### Reproduction steps

_No response_

### Relevant log output

```shell

```",2026-02-10T10:26:59Z,,requires_model_extension,Requires additional semantics beyond current setF/noCheck/message-field operations.,closed_or_fixed_unverified,github:wolfSSL/wolfssl:issue:9757,issue,bug,wolfSSL,manual-style deterministic triage over title/body/labels/raw API metadata; source-audit required for publication claims,"[""RFC8446""]",RFC-Core,github,incorrect_key_schedule,wolfSSL/wolfssl,closed,direct-bug-label,[Bug]: In case of DTLS 1.3 when using NULL cipher the Nonce length seems to be calculated incorrectly,https://github.com/wolfSSL/wolfssl/issues/9757
True,"### Version

5.8.4

### Description

Options used for compilation:
--enable-curve25519
--enable-debug
--enable-ed25519
--enable-dtls13
--enable-opensslcoexist
--enable-psk
--disable-chacha
--disable-examples
--disable-oldnames
--disable-oldtls

build environment:
amd_x64, Ubuntu 24.04

Building a DTLS v1.3 Server which an existing client will connect to. No certificates are used, all pre-shared keys.

### Reproduction steps

1. Start server
2. Start client
3. Connection fails -> Alert (Level: fatal, Description: Missing Extension)

### Relevant log output

```shell
wolfSSL Entering DTLSv1_3_server_method_ex
wolfSSL Entering wolfSSL_CTX_new_ex
wolfSSL Entering wolfSSL_CertManagerNew
heap param is null
DYNAMIC_TYPE_CERT_MANAGER Allocating = 240 bytes
wolfSSL Leaving wolfSSL_CTX_new_ex, return 0
wolfSSL Entering wolfSSL_CTX_use_psk_identity_hint
wolfSSL Entering wolfSSL_CTX_set_psk_server_callback
wolfSSL Entering wolfSSL_new
wolfSSL Entering ReinitSSL
RNG_HEALTH_TEST_CHECK_SIZE = 128
sizeof(seedB_data)         = 128
wolfSSL Entering SetSSL_CTX
wolfSSL Entering wolfSSL_DTLS_SetCookieSecret
wolfSSL Leaving wolfSSL_DTLS_SetCookieSecret, return 0
wolfSSL Entering wolfSSL_NewSession
InitSSL done. return 0 (success)
wolfSSL_new InitSSL success
wolfSSL Leaving wolfSSL_new InitSSL =, return 0
wolfSSL Entering wolfSSL_set_fd
wolfSSL Entering wolfSSL_set_read_fd
wolfSSL Leaving wolfSSL_set_read_fd, return 1
wolfSSL Entering wolfSSL_set_write_fd
wolfSSL Leaving wolfSSL_set_write_fd, retur",2026-03-05T14:07:19Z,,partially_expressible,"Partly representable, but exact predicate/state/alert/transcript behavior may need model-specific checks.",closed_or_fixed_unverified,github:wolfSSL/wolfssl:issue:9876,issue,bug,wolfSSL,manual-style deterministic triage over title/body/labels/raw API metadata; source-audit required for publication claims,"[""RFC8446""]",RFC-probable,github,wrong_error_handling,wolfSSL/wolfssl,closed,direct-bug-label,[Bug]: DTLS 1.3 with PSK failing because of missing SignatureAlgorithms extension,https://github.com/wolfSSL/wolfssl/issues/9876
True,"Code review of all compiled sources in a `--enable-harden-tls --disable-oldtls` build, focused exclusively on buffer overflows, use-after-free, and memory leaks. At the time of this review, none of the findings below have existing issues or pull requests filed against them in the wolfSSL repository.

## High Severity

### 1. Integer underflow in `DecryptTls13` (buffer overflow)
`src/tls13.c:2969`

`word16 dataSz = sz - ssl->specs.aead_mac_size` underflows if `sz < aead_mac_size`, wrapping to a large value passed directly to `wc_AesGcmDecrypt`/`wc_AesCcmDecrypt`. The function has no internal guard and relies entirely on callers to enforce the minimum size. This is reachable from network input on every TLS 1.3 connection.

## Medium Severity

### 2. Heap buffer overflow in dual-alg cert SAPKI copy
`wolfcrypt/src/asn.c:9157`

`XMEMCPY(decodedPubKey, der->sapkiDer, der->sapkiLen)` copies into a buffer allocated as `MAX_PUBLIC_KEY_SZ`, but `sapkiLen` is derived from untrusted certificate input and is not checked against that limit. Requires `WOLFSSL_DUAL_ALG_CERTS`.

### 3. Stack buffer overflow in `ConfirmSignature` DSA path
`wolfcrypt/src/asn.c:16213-16247`

The DSA case only checks `sigSz >= DSA_MIN_SIG_SIZE` (lower bound). Unlike the RSA case, there is no upper bounds check against `MAX_ENCODED_SIG_SZ`. Under `WOLFSSL_NO_MALLOC`, `sigCpy` is a stack buffer of that size, and an oversized DSA signature from a crafted certificate can overflow it.

### 4. Double-free in `DupSSL` o",2026-03-24T18:47:38Z,,expressible_noCheck,Representable when the local model has a matching rfc-requirement(label[n]).,closed_or_fixed_unverified,github:wolfSSL/wolfssl:issue:10063,issue,,wolfSSL,manual-style deterministic triage over title/body/labels/raw API metadata; source-audit required for publication claims,"[""RFC8446""]",RFC-probable,github,missing_validation,wolfSSL/wolfssl,closed,bug-inferred,Memory safety code review: 17 findings across compiled sources,https://github.com/wolfSSL/wolfssl/issues/10063
True,"Code review of all ECH-specific code paths enabled by `--enable-ech` in wolfSSL 5.9.0. At the time of this review, none of the findings below have existing issues or pull requests filed against them in the wolfSSL repository. These findings are distinct from the two ECH CVEs already fixed in 5.9.0 (CVE-2026-3549, CVE-2026-3849).

## High Severity

### 1. `word16` truncation of `innerClientHelloLen` causes heap buffer overflow
`src/tls13.c:4727-4728`, `src/tls.c:14135`, `wolfssl/internal.h:3140`

`innerClientHelloLen` is declared as `word16` in the `WOLFSSL_ECH` struct but is computed from `word32` values (`args->length + paddingLen + hpke->Nt`). If the sum exceeds 65535, silent truncation causes an undersized allocation at line 4868. The subsequent `XMEMCPY` at line 4878 copies the actual (non-truncated) amount of data, overflowing the heap buffer. The same `word16` truncation occurs server-side in `TLSX_ECH_ExpandOuterExtensions` at `tls.c:14135`.

## Medium-High Severity

### 2. `GetMsgHash` error not propagated in `EchCalcAcceptance`; OOB read via integer underflow
`src/tls13.c:3910-3927`

If `GetMsgHash` returns a negative error value, `ret` stays 0 (not propagated). The negative `hashSz` is cast to `word32` at lines 3922 and 3927, producing a massive value passed to `HashRaw`, which attempts to read far beyond the stack-allocated `clientHelloInnerHash[WC_MAX_DIGEST_SIZE]` buffer.

## Medium Severity

### 3. NULL pointer dereference on `echX` in HRR path
`src/tls13.c:5652",2026-03-25T14:38:44Z,,not_applicable,Not an RFC 5246/8446 core/probable behavior bug.,closed_or_fixed_unverified,github:wolfSSL/wolfssl:issue:10068,issue,,wolfSSL,manual-style deterministic triage over title/body/labels/raw API metadata; source-audit required for publication claims,"[""RFC8446""]",Not-related,github,wrong_validation_predicate,wolfSSL/wolfssl,closed,security/advisory,ECH (Encrypted Client Hello) code review: 11 findings,https://github.com/wolfSSL/wolfssl/issues/10068
True,"### Version

5.9.0

### Description

When a server is configured with ECH keys via `wolfSSL_CTX_GenerateEchConfig()`, there is no option to reject clients that do not use ECH. The server always falls back to the outer ClientHello when ECH is absent or decryption fails.

The draft-ietf-tls-esni-18 spec places enforcement on the client side (`ech_required` alert), assuming a CDN/proxy deployment model. In direct server deployments where the operator controls both ends, server-side enforcement is needed to prevent downgrade attacks where an attacker strips or modifies the ECH extension to expose the real SNI.

### Requested feature

A server-side API to require ECH:

```c
wolfSSL_CTX_SetEchRequired(ctx, 1);
```

When enabled, the server would abort the handshake (e.g., `illegal_parameter`) if:
- The ClientHello has no ECH extension
- ECH decryption fails (tampered or stripped extension)

This would prevent man-in-the-middle attacks that strip ECH to force a plaintext SNI fallback.

### Current behavior

- Server receives ClientHello without ECH → proceeds normally with outer hello
- Server receives ClientHello with ECH that fails to decrypt → falls back to outer hello and sends retry_configs
- No way to enforce that ECH was successfully used

### Use case

Direct server deployments (not CDN/proxy) where the operator wants to guarantee that all clients use ECH, and any connection without it should be rejected.",2026-03-26T18:55:53Z,,partially_expressible,"Partly representable, but exact predicate/state/alert/transcript behavior may need model-specific checks.",closed_or_fixed_unverified,github:wolfSSL/wolfssl:issue:10082,issue,,wolfSSL,manual-style deterministic triage over title/body/labels/raw API metadata; source-audit required for publication claims,"[""RFC5246"", ""RFC8446""]",RFC-probable,github,legacy_cross_version_error,wolfSSL/wolfssl,closed,bug-inferred,Feature request: server-side option to require ECH (reject non-ECH clients),https://github.com/wolfSSL/wolfssl/issues/10082
True,"### Version

5.9.0

### Description

During testing, we encountered a trap when wc_InitRng() was called. The trap was triggered by a write to one of the RNG structure fields:
````rng->drbg = NULL;````
 
The code runs on Infineon TriCore TC29 and TC26 devices, whose architecture only supports word-aligned pointers.
See https://resources.tasking.com/sites/default/files/2021-02/TASKING_Alignment%20Requirements%20Restrictions_WEB.pdf
 
We examined the memory and saw that the drbg field was not word-aligned.
We fixed this by adding the ````__align(4)```` directive to the WC_RNG struct definition to enforce word alignment. The structure now looks as follows:
 
```c
/* RNG context */
struct WC_RNG {
    struct OS_Seed seed;
    void* heap;
    byte status;
 
#if defined(WC_RNG_BANK_SUPPORT) || defined(HAVE_HASHDRBG)
 
#ifdef HAVE_ANONYMOUS_INLINE_AGGREGATES
    union {
#endif
 
    #ifdef WC_RNG_BANK_SUPPORT
        struct wc_rng_bank *bankref;
    #endif
 
    #ifdef HAVE_HASHDRBG
        #ifdef HAVE_ANONYMOUS_INLINE_AGGREGATES
        struct {
        #endif
            /* Hash-based Deterministic Random Bit Generator */
           struct DRBG* drbg;
        #if defined(WOLFSSL_NO_MALLOC) && !defined(WOLFSSL_STATIC_MEMORY)
            struct DRBG_internal drbg_data;
        #endif
        #ifdef WOLFSSL_SMALL_STACK_CACHE
            /* Scratch buffers -- all preallocated by _InitRng(). */
            struct DRBG_internal *drbg_scratch;
            byte *health_check_scratch;
     ",2026-03-31T11:32:06Z,,not_applicable,Not an RFC 5246/8446 core/probable behavior bug.,closed_or_fixed_unverified,github:wolfSSL/wolfssl:issue:10110,issue,,wolfSSL,manual-style deterministic triage over title/body/labels/raw API metadata; source-audit required for publication claims,[],Not-related,github,incorrect_field_construction,wolfSSL/wolfssl,closed,bug-inferred,Pointer alignment in TriCore architecture,https://github.com/wolfSSL/wolfssl/issues/10110
True,"### Contact Details

lxd_dong@bupt.edu.cn

### Version

v5.9.1

### Description

## Summary
- Conclusion: when `WOLFSSL_EARLY_DATA` is enabled, the current implementation path does not show the RFC 8446 Section 8 minimum guarantee that the same 0-RTT handshake is accepted at most once per server instance.
- Scope: conditional risk, because early data is off by default.

## RFC Exact Text 
﻿
Source: `document/TLS1.3.txt`
﻿
### 1) Minimum requirement: at most once per server instance
```text
5479       only a limited number of times.  The server MUST ensure that any
5480       instance of it (be it a machine, a thread, or any other entity within
5481       the relevant serving infrastructure) would accept 0-RTT for the same
5482       0-RTT handshake at most once; this limits the number of replays to
5483       the number of server instances in the deployment.
```
```text
5495       provides the same or a stronger guarantee.  The ""at most once per
5496       server instance"" guarantee is a minimum requirement; servers SHOULD
5497       limit 0-RTT replays further when feasible.
```
### 2) Example anti-replay mechanisms from RFC
```text
5506       The simplest form of anti-replay defense is for the server to only
5507       allow each session ticket to be used once.  For instance, the server
5508       can maintain a database of all outstanding valid tickets, deleting
5509       each ticket from the database as it is used.  If an unknown ticket is
5510       provided, the server",2026-04-12T12:26:07Z,,expressible_setM_add_remove,Representable for modeled wire-message fields using setM/add/remove.,closed_or_fixed_unverified,github:wolfSSL/wolfssl:issue:10197,issue,bug,wolfSSL,manual-style deterministic triage over title/body/labels/raw API metadata; source-audit required for publication claims,"[""RFC8446""]",RFC-Core,github,incorrect_field_construction,wolfSSL/wolfssl,closed,security/advisory,[Bug]:  0-RTT Anti-Replay Minimum Requirement Not Enforced (RFC 8446 Section 8),https://github.com/wolfSSL/wolfssl/issues/10197
True,"
Hi, while reviewing wolfSSL's TLS 1.3 implementation against RFC 8446, we noticed several
places where the current behavior appears to differ from the specification. Each item below
cites the relevant RFC text alongside the corresponding source code for your reference.
We hope this is helpful for improving RFC conformance.

---

### 1. Missing `illegal_parameter` Alert When `pre_shared_key` Is Not the Last Extension

**RFC Reference**: RFC 8446 Section 4.2.11 (Pre-Shared Key Extension)

> ""The \""pre_shared_key\"" extension MUST be the last extension in the ClientHello (this facilitates implementation as described below). Servers MUST check that it is the last extension and otherwise fail the handshake with an \""illegal_parameter\"" alert.""

**Analysis**:
In `tls13.c` at lines 6173–6177, `CheckPreSharedKeys` detects that the PSK extension is
not the last extension in ClientHello via the check `ssl->extensions != ext`, and
immediately returns `PSK_KEY_ERROR`. No `SendAlert(ssl, alert_fatal, illegal_parameter)`
call is made at this point. The only `illegal_parameter` alert visible in the relevant code
paths (lines 5582–5593) belongs to HelloRetryRequest processing—a separate, unrelated
path.

**Source Code Evidence** (`tls13.c`):

```c
// tls13.c:6173-6177
/* Extensions pushed on stack/list and PSK must be last. */
if (ssl->extensions != ext) {
    WOLFSSL_ERROR_VERBOSE(PSK_KEY_ERROR);
    return PSK_KEY_ERROR;
}
```

---

### 2. Inconsistent Alert Type When `signature_algorithms",2026-04-17T08:03:47Z,,partially_expressible,"Partly representable, but exact predicate/state/alert/transcript behavior may need model-specific checks.",closed_or_fixed_unverified,github:wolfSSL/wolfssl:issue:10244,issue,,wolfSSL,manual-style deterministic triage over title/body/labels/raw API metadata; source-audit required for publication claims,"[""RFC8446""]",RFC-Core,github,wrong_error_handling,wolfSSL/wolfssl,closed,bug-inferred,TLS 1.3 (RFC 8446) Incompliance Observations in wolfSSL,https://github.com/wolfSSL/wolfssl/issues/10244
